"501st Legion, 1st Regiment, 3rd Battalion",,,,,,,,,,,
Unified Qualification Roster,,,,,,,,,,,
Nickname,Birth Number,Assault,RAMR,Support,Advanced Support,Grenadier,Marksman,Jumpmaster,Combat Engineer,RTO Basic,RTO Qualified
Adhock,87345,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
Adventure,92543,PASS,,PASS,,,,,,,
Aedan,43659,PASS,PASS,PASS,PASS,PASS,PASS,,,PASS,PASS
Aeon,11513,PASS,PASS,PASS,,PASS,PASS,,,PASS,PASS
AJ,28089,PASS,,,,PASS,PASS,,,,
Ajax,90155,PASS,,PASS,,PASS,PASS,,,PASS,PASS
Akeer,72012,PASS,,PASS,,PASS,PASS,,,,
Akira,19561,PASS,,PASS,,PASS,PASS,,,PASS,
Akuma,48520,PASS,,PASS,,PASS,PASS,,,,
Alex,25052,,,PASS,,,,,,,
Alistair,13568,PASS,,,,,,,,PASS,PASS
Altred,87456,,,,,PASS,,PASS,PASS,PASS,PASS
Anarchy,90101,PASS,,PASS,,PASS,PASS,,,,
Andromeda,,PASS,,PASS,,PASS,PASS,,,PASS,PASS
Anheiser,45701,PASS,,PASS,,PASS,PASS,PASS,,,
Anorant,13141,,,PASS,,,PASS,,,PASS,PASS
Anselm,83142,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,PASS,PASS
Anta,12122,PASS,,PASS,,PASS,PASS,PASS,,PASS,PASS
Anti,12245,PASS,,PASS,,,,,,,
Anubis,45935,PASS,PASS,PASS,PASS,PASS,PASS,,PASS,PASS,PASS
Apostle,48376,PASS,,PASS,,PASS,PASS,,,,
Aran,96512,,,PASS,,PASS,PASS,PASS,,PASS,PASS
Araxis,70325,PASS,PASS,PASS,,PASS,PASS,PASS,,PASS,PASS
araxis,70325,PASS,PASS,PASS,,PASS,PASS,PASS,,PASS,PASS
Arcanist,13000,PASS,PASS,PASS,,PASS,PASS,,,PASS,PASS
Archaic,15003,PASS,PASS,PASS,,PASS,PASS,,PASS,PASS,PASS
Archon,56489,PASS,,,,PASS,PASS,,,PASS,
Arthur,18777,PASS,PASS,PASS,,PASS,PASS,,,PASS,PASS
Ash,22451,PASS,,PASS,,PASS,PASS,,,,PASS
Asher,5681,PASS,,,,PASS,,,PASS,PASS,
Aspect,,PASS,,PASS,,PASS,PASS,,,PASS,PASS
Atlas,7449,PASS,PASS,PASS,,PASS,PASS,,,,
Atom,56910,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,PASS,PASS
atom,56910,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,PASS,PASS
Ayryk,97516,PASS,,,,,PASS,,,,
Bacon,24643,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,PASS,PASS
Bandit,50064,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,PASS,PASS
Barbary,86246,PASS,,,,PASS,PASS,,,,
Bardock,21356,PASS,,,,,,,,,
bardok,21356,,,,,,,,,PASS,
Bardok,21356,,,,,,,,,PASS,
Beast,92277,PASS,PASS,PASS,,PASS,PASS,PASS,,PASS,PASS
Beat,40785,PASS,,PASS,,PASS,PASS,,,PASS,PASS
Beef,1648,PASS,PASS,,,PASS,PASS,,,,
Bek,61198,PASS,,,,,,,,,
Beldin,99421,,,,,,PASS,,,,
Bemount,41996,PASS,,PASS,,PASS,PASS,PASS,PASS,PASS,
Benitez,22902,PASS,,,,PASS,PASS,,,,
Bensen,12966,PASS,,PASS,,PASS,PASS,,,PASS,PASS
Birhnr,86487,,,PASS,,,,,,,
Biscuit,77301,,PASS,PASS,PASS,PASS,PASS,PASS,,PASS,PASS
Bishop,21036,PASS,PASS,PASS,,PASS,,PASS,,PASS,PASS
Bit,48416,PASS,PASS,PASS,,PASS,PASS,,,PASS,PASS
Bjorn,51740,PASS,PASS,PASS,,PASS,,,,PASS,PASS
Black,86539,PASS,PASS,PASS,,PASS,PASS,,,PASS,PASS
Blade,63924,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,PASS,PASS
Blast,84134,PASS,PASS,PASS,,PASS,PASS,,,PASS,PASS
Blaze,25540,PASS,,PASS,,,PASS,,,PASS,
Blythe,70129,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
Bobs,1880,PASS,,PASS,,PASS,PASS,,,,
Bomb,98989,,,PASS,,,,,,,
Boneish,19006,PASS,,PASS,,PASS,PASS,,,PASS,PASS
Bones,87071,PASS,,PASS,,PASS,PASS,PASS,,PASS,PASS
Boozy,16175,PASS,,,,PASS,,,,PASS,PASS
Bork,33951,PASS,,PASS,,PASS,PASS,,,PASS,
Brad,22345,PASS,,PASS,,PASS,PASS,,,PASS,
Brag,38815,,,,,,,,,,
Brandon,4098,PASS,PASS,PASS,,PASS,PASS,,PASS,PASS,PASS
Brennan,,PASS,PASS,PASS,,PASS,PASS,,,PASS,PASS
Bridger,71789,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,PASS,PASS
Broad,55119,PASS,PASS,PASS,,PASS,PASS,PASS,,PASS,
Bronson,59255,,PASS,PASS,,PASS,PASS,,PASS,PASS,PASS
Brotha,51264,PASS,,PASS,PASS,PASS,PASS,,PASS,PASS,PASS
Browns,37206,PASS,,,,,,,,,
Bruce,73789,PASS,PASS,PASS,,PASS,PASS,PASS,,PASS,PASS
Buddy,2519,PASS,,PASS,,,PASS,PASS,,,
Buffalo,45258,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,PASS,PASS
Buggs,27877,PASS,,PASS,,PASS,PASS,,,PASS,PASS
Bull,67452,,,PASS,,,,,,,
Burrito,34178,PASS,,PASS,,PASS,PASS,PASS,,PASS,PASS
Caesar,26131,PASS,,PASS,,,,,,,
Calo,1718,PASS,,,,PASS,,,,PASS,PASS
Canine,35474,PASS,,PASS,,,PASS,,,PASS,
Cash,18008,,,,,,,,,PASS,PASS
Casskun,95156,PASS,,PASS,,PASS,PASS,,,PASS,PASS
Cato,1580,PASS,,PASS,,PASS,PASS,,,,
Cavalry,4782,PASS,PASS,PASS,,,PASS,,,PASS,PASS
Cavarly,4782,,,,,,PASS,,,,
Cerberus,42946,PASS,,PASS,,PASS,,PASS,,PASS,PASS
Chack,97192,PASS,,,,,,,,,
Chad,84575,PASS,,PASS,,PASS,PASS,,,,
Chan,45130,,,PASS,,PASS,,,,,
Charger,15901,PASS,,PASS,,PASS,PASS,,,,PASS
Charl,88253,PASS,PASS,PASS,,PASS,PASS,PASS,,PASS,PASS
Charred,24252,,,PASS,,,,,,,
Chaser,33232,PASS,PASS,PASS,,PASS,PASS,PASS,,PASS,PASS
Chatter,75644,PASS,,PASS,,PASS,PASS,PASS,,PASS,
chatter,75644,PASS,,PASS,,PASS,PASS,PASS,,PASS,
Checkers,11356,PASS,,PASS,,PASS,,,PASS,,
cheeta,10195,,,,,,,,,,
Cheetah,10195,PASS,,PASS,,,,,,PASS,
Cherokee,30436,PASS,PASS,PASS,,PASS,PASS,,PASS,PASS,PASS
Chimera,30253,,PASS,PASS,,PASS,,,,PASS,
Cholt,30459,PASS,PASS,PASS,,PASS,PASS,,,PASS,PASS
Chroma,23039,PASS,,PASS,,PASS,PASS,PASS,,PASS,PASS
Chronic,91277,PASS,,PASS,,,,,,PASS,
Church,91779,PASS,,PASS,,PASS,PASS,,,PASS,
Cito,55102,PASS,,,,,PASS,PASS,,,
Clay,15649,PASS,,PASS,,PASS,PASS,PASS,,PASS,
Claymur,42455,PASS,,,,,,,,PASS,
Cliche,46978,PASS,,PASS,,,,,,,
Clock,24658,PASS,PASS,PASS,,PASS,PASS,PASS,PASS,PASS,PASS
Clover,14577,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,PASS,PASS
Clyax,11399,PASS,PASS,PASS,,PASS,PASS,,,PASS,PASS
Cobra,10450,,,PASS,,,,,,,
Coco,13989,,,,,,,PASS,,PASS,PASS
Coin,65540,PASS,,PASS,,,,,,,
Comet,67491,PASS,,PASS,,PASS,PASS,,,PASS,PASS
Compo,,,,,,,,,,PASS,PASS
Conair,15450,,,PASS,,,PASS,,,PASS,PASS
Cookie,15389,PASS,,PASS,,PASS,PASS,,,,
Cor,,,,,,,,,,PASS,
Corey,3105,,,,,,,,,PASS,PASS
Cortes,19957,,,PASS,,,,,,,
Courtney,25410,PASS,PASS,PASS,,PASS,PASS,PASS,,PASS,PASS
CR-C Bardok,21356,,,PASS,,,,,,,
Craz,44325,PASS,PASS,PASS,,PASS,PASS,,,PASS,PASS
Crebar,70303,PASS,,,,PASS,PASS,,,PASS,
Crimson,11399,,,,,,,,,PASS,
Crinkcase,14031,PASS,,PASS,,PASS,PASS,PASS,,PASS,PASS
Crisis,,PASS,PASS,PASS,,PASS,PASS,,,PASS,PASS
Crow,26426,PASS,,PASS,,,,,,,
Cruisie,,,,,,,,,,PASS,
Crush,12029,PASS,,PASS,,PASS,PASS,PASS,,PASS,
crush,12029,PASS,,PASS,,PASS,PASS,PASS,,PASS,
Cursed,18906,PASS,,,,,,,,,
Cutter,25221,PASS,,PASS,,PASS,PASS,,,,PASS
Cyber,2112,,,PASS,,PASS,PASS,PASS,,PASS,PASS
Cyrus,56219,PASS,,PASS,,PASS,PASS,,,,
Daan,68220,PASS,,PASS,,PASS,PASS,PASS,,,
Dadecoy,,PASS,PASS,PASS,,PASS,PASS,,,PASS,PASS
Dakota,13169,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
Dalton,51051,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
Danger,37209,,,PASS,,,,,,,
Darkstar,,PASS,PASS,PASS,,PASS,PASS,,,PASS,PASS
Daunte,22153,PASS,,PASS,PASS,PASS,PASS,PASS,,PASS,
Death,57421,PASS,,PASS,,PASS,PASS,,,,
Deceiving,73145,PASS,,PASS,,PASS,PASS,PASS,,PASS,PASS
Defender,12075,PASS,PASS,PASS,,PASS,,,,,PASS
Del,11345,PASS,PASS,PASS,,PASS,PASS,,PASS,PASS,PASS
Delta,47272,PASS,,PASS,,PASS,PASS,,,PASS,PASS
Denz,11724,PASS,,PASS,,PASS,PASS,,,PASS,PASS
Deo,10016,,,,,PASS,PASS,,,,
Deus,15043,PASS,PASS,,,PASS,PASS,PASS,,PASS,PASS
Deva,66319,PASS,PASS,PASS,,PASS,PASS,PASS,,PASS,PASS
Deytow,23996,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
Diablo,76767,PASS,PASS,PASS,PASS,PASS,PASS,,,PASS,PASS
Dimitri,,PASS,,PASS,,,PASS,,,PASS,PASS
Dino,12013,,,PASS,,,,,,,
Dirt,48892,PASS,,PASS,,PASS,,,,,
Diverge,21822,PASS,PASS,PASS,,PASS,PASS,PASS,PASS,PASS,PASS
Dobby,95236,PASS,,PASS,,PASS,PASS,,,PASS,
Doro,55101,PASS,,,,,,,,,
Doug,42248,PASS,,PASS,,PASS,,,,PASS,PASS
Dova,12568,PASS,,PASS,,PASS,PASS,,,,
Dragneel,87815,PASS,PASS,PASS,,PASS,PASS,,,,PASS
Dragon,92698,PASS,,PASS,,,PASS,PASS,,PASS,PASS
Drammon,24858,PASS,PASS,PASS,,PASS,PASS,,,PASS,PASS
Drebien,32579,PASS,,PASS,,PASS,PASS,,,PASS,PASS
Dredge,82793,PASS,,,,PASS,PASS,PASS,,PASS,PASS
Drifter,92587,PASS,PASS,PASS,,PASS,PASS,,,PASS,PASS
Dubbs,98248,PASS,,PASS,,PASS,PASS,,,,
Duck,40183,PASS,PASS,PASS,,PASS,PASS,,PASS,PASS,PASS
Duke,,PASS,PASS,PASS,,PASS,PASS,,,PASS,PASS
Dumajin,11260,PASS,PASS,PASS,,PASS,PASS,,,,PASS
Duncan,81913,PASS,,PASS,,PASS,PASS,,,PASS,PASS
Dunpar,88238,PASS,PASS,PASS,,PASS,PASS,,,PASS,PASS
Durza,40030,PASS,,PASS,,,,,,PASS,PASS
