,Birth #,Nickname,Rank,Unit,Role,TiG,TiS,LastPromotion,Start of Service,Recruiter,Status / Initial,UTC,Notes,,,,,,
Lieutenants,,Officers,,,,,,,,,,,,,,,,,
CX,2590,Scuba,Captain,Officer Reserves,-,873 DAY(S),1416 DAY(S),  20190102,  20170708,-,Cycle 1,-,Moved to Reserves on 03/03/2021,,,,,,
CC,3998,Point,First Lieutenant,Officer Reserves,-,397 DAY(S),1250 DAY(S),  20200422,  20171221,Phantom,Cycle 1,Alpha3,Moved to reserves 07/22/2020,,,,,,
CX,6436,Jackson,Second Lieutenant,Officer Reserves,-,572 DAY(S),1391 DAY(S),  20191030,  20170802,Swift/Noviix,Cycle 1,-,Moved to reserves 01/22/2020,,,,,,
CC,47272,Delta,Second Lieutenant,Officer Reserves,-,411 DAY(S),1231 DAY(S),  20200408,20180109,Jan,-,Charlie3,Moved to reserves 2/3/2020,,,,,,
CC,5015,Crisis,First Lieutenant,Officer Reserves,-,397 DAY(S),1250 DAY(S),  20200422,  20171221,Phantom,Cycle 1,Charlie3,Moved to reserves 4/28/2021,,,,,,
NCOs,,NCOs,,,,,,,,,F,,,,,,,,
Sergeant-Majors,,,,,,,,,,,,,,,,,,,
CS-M,82311,Pompano,Sergeant-Major,Inactive Reserves,-,628 DAY(S),1213 DAY(S),  20190904,  20180127,Zflocco,Class 3,Alpha7,Moved to reserves 07/22/2020,,,,,,
CS-M,3778,Odin,Sergeant-Major,Inactive Reserves,-,292 DAY(S),1356 DAY(S),  20200805,  20170906,Swift,Cycle 1,-,Moved to reserves 3/12/2021,,,,,,
Sergeants,,,,,,,,,,,,,,,,,,,
CS,3210,Orion,Sr. Sergeant,Inactive Reserves,Squad Leader,824 DAY(S),1388 DAY(S),  20190220,  20170805,Hermit,Cycle 1,-,Moved to Reserves 07/19/2020,,,,,,
CS,17019,Parrott,Sergeant,Inactive Reserves,Squad Leader,390 DAY(S),1058 DAY(S),  20200429,  20180701,Sorensic,Class 46,Domino23,Moved to Reserves 07/30/2020,,,,,,
