|----|---------|----------|-----------------------------------------------------------|----------|----------------|------------|------------|----------------|------------------|-------------------------|----------------------------------------------------------------------------------|-------------------------|-------------------|
| in | Birth # | Nickame  | Rank                                                      | Status   | Preferred Role | TiG        | TiS        | Last Promotion | Start of Service | Recruiter               | Notes                                                                            | Timestamp               |                   |
|----|---------|----------|-----------------------------------------------------------|----------|----------------|------------|------------|----------------|------------------|-------------------------|----------------------------------------------------------------------------------|-------------------------|-------------------|
| CR | 21584   | Optimus  | Recruit                                                   | Training | Grenadier      | 285 DAY(S) | 285 DAY(S) | 20200812       | 20200812         | Hantar                  | ELOA: 8/12/2020                                                                  |                         |                   |
|----|---------|----------|-----------------------------------------------------------|----------|----------------|------------|------------|----------------|------------------|-------------------------|----------------------------------------------------------------------------------|-------------------------|-------------------|
| CR | 61253   | Brown    | Recruit                                                   | Training | Trooper        | 109 DAY(S) | 109 DAY(S) | 20210204       | 20210204         | Ethan                   | Still Downloading Mods                                                           |                         |                   |
|----|---------|----------|-----------------------------------------------------------|----------|----------------|------------|------------|----------------|------------------|-------------------------|----------------------------------------------------------------------------------|-------------------------|-------------------|
| CR | 73119   | Integral | Recruit                                                   | Training | Support        | 108 DAY(S) | 108 DAY(S) | 20210205       | 20210205         | Buggs                   | Still Downloading Mods                                                           |                         |                   |
|----|---------|----------|-----------------------------------------------------------|----------|----------------|------------|------------|----------------|------------------|-------------------------|----------------------------------------------------------------------------------|-------------------------|-------------------|
| CR | 56297   | Cola     | Recruit                                                   | Training | Medic          | 108 DAY(S) | 108 DAY(S) | 20210205       | 20210205         | Bit                     |                                                                                  |                         |                   |
|----|---------|----------|-----------------------------------------------------------|----------|----------------|------------|------------|----------------|------------------|-------------------------|----------------------------------------------------------------------------------|-------------------------|-------------------|
| CR | 86753   | Xan      | Recruit                                                   | Training | Support        | 105 DAY(S) | 105 DAY(S) | 20210208       | 20210208         | Bit                     | Still Downloading Mods                                                           |                         |                   |
|----|---------|----------|-----------------------------------------------------------|----------|----------------|------------|------------|----------------|------------------|-------------------------|----------------------------------------------------------------------------------|-------------------------|-------------------|
